observation_date,DPSACBW027SBOG
2014-12-31,10469.7806
2015-01-07,10502.9361
2015-01-14,10503.252
2015-01-21,10511.4957
2015-01-28,10539.5429
2015-02-04,10580.9018
2015-02-11,10591.0812
2015-02-18,10618.6721
2015-02-25,10667.542
2015-03-04,10658.8408
2015-03-11,10665.6091
2015-03-18,10657.4317
2015-03-25,10673.6162
2015-04-01,10728.5792
2015-04-08,10680.0017
2015-04-15,10700.6219
2015-04-22,10651.932
2015-04-29,10655.6978
2015-05-06,10657.1559
2015-05-13,10726.7256
2015-05-20,10692.2367
2015-05-27,10733.9935
2015-06-03,10710.8989
2015-06-10,10713.2861
2015-06-17,10740.499
2015-06-24,10782.7146
2015-07-01,10780.4774
2015-07-08,10765.2584
2015-07-15,10793.2062
2015-07-22,10814.3362
2015-07-29,10763.7099
2015-08-05,10799.8983
2015-08-12,10812.7948
2015-08-19,10839.0316
2015-08-26,10883.799
2015-09-02,10858.4956
2015-09-09,10873.582
2015-09-16,10855.4025
2015-09-23,10862.0893
2015-09-30,10874.1561
2015-10-07,10882.0328
2015-10-14,10895.105
2015-10-21,10931.0159
2015-10-28,10953.4421
2015-11-04,10972.4951
2015-11-11,10966.8848
2015-11-18,10942.8857
2015-11-25,10977.3246
2015-12-02,10932.4365
2015-12-09,10949.9285
2015-12-16,10924.0858
2015-12-23,10949.9467
2015-12-30,10871.4733
2016-01-06,10948.0678
2016-01-13,10949.486
2016-01-20,10958.9594
2016-01-27,10967.7545
2016-02-03,10983.9991
2016-02-10,10997.3992
2016-02-17,11026.329
2016-02-24,11025.8348
2016-03-02,11061.8144
2016-03-09,11078.4968
2016-03-16,11072.8862
2016-03-23,11123.0757
2016-03-30,11085.2954
2016-04-06,11123.0829
2016-04-13,11151.4729
2016-04-20,11166.1153
2016-04-27,11143.2729
2016-05-04,11188.1989
2016-05-11,11183.643
2016-05-18,11173.4543
2016-05-25,11200.0202
2016-06-01,11226.4453
2016-06-08,11264.3327
2016-06-15,11286.0172
2016-06-22,11264.8179
2016-06-29,11249.2625
2016-07-06,11283.8422
2016-07-13,11280.597
2016-07-20,11274.7326
2016-07-27,11284.2024
2016-08-03,11353.0553
2016-08-10,11350.2361
2016-08-17,11393.8678
2016-08-24,11384.1252
2016-08-31,11373.3254
2016-09-07,11387.2997
2016-09-14,11421.8969
2016-09-21,11357.4265
2016-09-28,11350.8668
2016-10-05,11371.1458
2016-10-12,11371.0473
2016-10-19,11367.2012
2016-10-26,11401.2544
2016-11-02,11390.1487
2016-11-09,11416.8917
2016-11-16,11437.4623
2016-11-23,11426.9819
2016-11-30,11427.0771
2016-12-07,11439.3051
2016-12-14,11472.7087
2016-12-21,11460.2636
2016-12-28,11486.2246
2017-01-04,11533.3377
2017-01-11,11502.3516
2017-01-18,11538.9072
2017-01-25,11517.9638
2017-02-01,11581.5626
2017-02-08,11547.7674
2017-02-15,11579.0528
2017-02-22,11554.8663
2017-03-01,11611.141
2017-03-08,11590.5245
2017-03-15,11656.7217
2017-03-22,11646.2981
2017-03-29,11622.0159
2017-04-05,11657.2204
2017-04-12,11666.0224
2017-04-19,11677.9197
2017-04-26,11669.6659
2017-05-03,11677.0943
2017-05-10,11706.6982
2017-05-17,11725.1982
2017-05-24,11747.5885
2017-05-31,11742.869
2017-06-07,11729.0879
2017-06-14,11717.2429
2017-06-21,11718.68
2017-06-28,11708.8012
2017-07-05,11764.3633
2017-07-12,11750.2667
2017-07-19,11767.8006
2017-07-26,11804.2092
2017-08-02,11805.2703
2017-08-09,11803.9777
2017-08-16,11829.3605
2017-08-23,11831.288
2017-08-30,11813.4238
2017-09-06,11852.8697
2017-09-13,11861.4335
2017-09-20,11873.6228
2017-09-27,11873.8001
2017-10-04,11940.039
2017-10-11,11949.1716
2017-10-18,11903.9083
2017-10-25,11952.4862
2017-11-01,11988.3791
2017-11-08,11955.1184
2017-11-15,11958.5193
2017-11-22,11958.6315
2017-11-29,11920.3254
2017-12-06,11977.1653
2017-12-13,11970.3493
2017-12-20,11967.8918
2017-12-27,11970.5617
2018-01-03,11984.7702
2018-01-10,11973.3434
2018-01-17,12003.7364
2018-01-24,12000.0958
2018-01-31,12037.1712
2018-02-07,11981.688
2018-02-14,11980.9289
2018-02-21,11967.1272
2018-02-28,12042.5365
2018-03-07,11997.1727
2018-03-14,12021.4251
2018-03-21,11971.3238
2018-03-28,12045.0808
2018-04-04,12077.5912
2018-04-11,12092.2659
2018-04-18,12091.7611
2018-04-25,12105.7454
2018-05-02,12084.911
2018-05-09,12111.976
2018-05-16,12094.4888
2018-05-23,12141.5418
2018-05-30,12157.4106
2018-06-06,12156.4316
2018-06-13,12158.6679
2018-06-20,12170.5206
2018-06-27,12187.7774
2018-07-04,12224.1706
2018-07-11,12195.7829
2018-07-18,12185.6525
2018-07-25,12238.8979
2018-08-01,12247.4638
2018-08-08,12225.7338
2018-08-15,12249.5355
2018-08-22,12245.4507
2018-08-29,12231.1514
2018-09-05,12243.1943
2018-09-12,12243.168
2018-09-19,12272.7117
2018-09-26,12319.1904
2018-10-03,12309.5881
2018-10-10,12324.1774
2018-10-17,12298.0668
2018-10-24,12321.6812
2018-10-31,12311.0861
2018-11-07,12267.2944
2018-11-14,12280.6686
2018-11-21,12284.5997
2018-11-28,12306.869
2018-12-05,12384.5269
2018-12-12,12336.3729
2018-12-19,12378.567
2018-12-26,12454.7613
2019-01-02,12468.2108
2019-01-09,12468.2193
2019-01-16,12441.0657
2019-01-23,12505.6674
2019-01-30,12459.495
2019-02-06,12511.4683
2019-02-13,12490.0573
2019-02-20,12502.1403
2019-02-27,12519.2438
2019-03-06,12547.4651
2019-03-13,12534.9085
2019-03-20,12569.6852
2019-03-27,12615.5167
2019-04-03,12617.339
2019-04-10,12615.7027
2019-04-17,12613.4386
2019-04-24,12626.3133
2019-05-01,12679.342
2019-05-08,12661.6177
2019-05-15,12720.3306
2019-05-22,12668.834
2019-05-29,12679.209
2019-06-05,12719.6715
2019-06-12,12739.7871
2019-06-19,12764.4953
2019-06-26,12812.7513
2019-07-03,12795.1037
2019-07-10,12749.473
2019-07-17,12780.0686
2019-07-24,12811.1981
2019-07-31,12828.1527
2019-08-07,12837.0064
2019-08-14,12819.3109
2019-08-21,12818.3989
2019-08-28,12849.7693
2019-09-04,12896.3945
2019-09-11,12868.8625
2019-09-18,12910.3533
2019-09-25,12978.4383
2019-10-02,13040.3191
2019-10-09,13038.1325
2019-10-16,13067.4565
2019-10-23,13066.9543
2019-10-30,13037.9634
2019-11-06,13095.9943
2019-11-13,13135.8604
2019-11-20,13145.7956
2019-11-27,13184.1044
2019-12-04,13169.2423
2019-12-11,13199.3919
2019-12-18,13193.883
2019-12-25,13193.9727
2020-01-01,13200.4212
2020-01-08,13262.0486
2020-01-15,13297.4572
2020-01-22,13294.9795
2020-01-29,13283.4278
2020-02-05,13328.1249
2020-02-12,13329.7465
2020-02-19,13371.19
2020-02-26,13349.2665
2020-03-04,13443.7582
2020-03-11,13478.6169
2020-03-18,13758.9237
2020-03-25,14118.3037
2020-04-01,14268.02
2020-04-08,14254.7317
2020-04-15,14629.9556
2020-04-22,14874.6516
2020-04-29,15005.8183
2020-05-06,15181.9679
2020-05-13,15267.8808
2020-05-20,15321.5268
2020-05-27,15360.6679
2020-06-03,15363.9241
2020-06-10,15439.2207
2020-06-17,15515.5435
2020-06-24,15571.2984
2020-07-01,15548.3739
2020-07-08,15585.5769
2020-07-15,15593.892
2020-07-22,15495.9829
2020-07-29,15445.6114
2020-08-05,15509.2186
2020-08-12,15521.4609
2020-08-19,15541.5851
2020-08-26,15554.078
2020-09-02,15593.6649
2020-09-09,15652.399
2020-09-16,15729.6948
2020-09-23,15713.5441
2020-09-30,15684.3492
2020-10-07,15690.1303
2020-10-14,15795.1825
2020-10-21,15795.039
2020-10-28,15827.7707
2020-11-04,15876.4657
2020-11-11,15878.4173
2020-11-18,15898.9609
2020-11-25,15978.9354
2020-12-02,15967.6477
2020-12-09,15995.224
2020-12-16,16027.5568
2020-12-23,16017.9693
2020-12-30,16068.9666
2021-01-06,16119.0755
2021-01-13,16152.5752
2021-01-20,16159.0014
2021-01-27,16254.4129
2021-02-03,16284.1703
2021-02-10,16335.4281
2021-02-17,16427.0826
2021-02-24,16401.9652
2021-03-03,16464.9516
2021-03-10,16522.973
2021-03-17,16706.7767
2021-03-24,16725.8004
2021-03-31,16731.573
2021-04-07,16787.163
2021-04-14,16887.6095
2021-04-21,16898.9709
2021-04-28,16973.1798
2021-05-05,17064.0983
2021-05-12,17118.3094
2021-05-19,17098.437
2021-05-26,17068.0027
2021-06-02,17079.8533
2021-06-09,17177.5963
2021-06-16,17125.0452
2021-06-23,17103.8
2021-06-30,17057.3338
2021-07-07,17131.8933
2021-07-14,17200.5062
2021-07-21,17264.5896
2021-07-28,17255.0818
2021-08-04,17275.219
2021-08-11,17329.8632
2021-08-18,17394.487
2021-08-25,17453.1096
2021-09-01,17496.9321
2021-09-08,17477.509
2021-09-15,17555.7374
2021-09-22,17521.1362
2021-09-29,17540.2566
2021-10-06,17589.1001
2021-10-13,17610.3412
2021-10-20,17672.9002
2021-10-27,17705.0968
2021-11-03,17728.2668
2021-11-10,17766.2911
2021-11-17,17804.2855
2021-11-24,17849.0637
2021-12-01,17884.8315
2021-12-08,17873.3072
2021-12-15,17908.9081
2021-12-22,17928.3421
2021-12-29,17890.8841
2022-01-05,17952.2281
2022-01-12,17956.0667
2022-01-19,18007.6235
2022-01-26,18001.3354
2022-02-02,17999.868
2022-02-09,18036.5239
2022-02-16,18021.89
2022-02-23,18075.2006
2022-03-02,18081.8575
2022-03-09,18065.5944
2022-03-16,18079.855
2022-03-23,18074.8949
2022-03-30,18111.1133
2022-04-06,18145.7434
2022-04-13,18197.2253
2022-04-20,18096.7547
2022-04-27,18113.8398
2022-05-04,18126.1796
2022-05-11,18075.8882
2022-05-18,18080.7777
2022-05-25,18131.5674
2022-06-01,18104.7405
2022-06-08,18040.9825
2022-06-15,18020.5312
2022-06-22,18061.4869
2022-06-29,18007.0598
2022-07-06,17995.2309
2022-07-13,18016.8412
2022-07-20,18026.8808
2022-07-27,18080.8268
2022-08-03,17995.7317
2022-08-10,18033.6365
2022-08-17,18031.8438
2022-08-24,18058.7375
2022-08-31,18013.7491
2022-09-07,17948.7492
2022-09-14,17964.257
2022-09-21,17943.3631
2022-09-28,17881.3593
2022-10-05,17808.8
2022-10-12,17793.9162
2022-10-19,17780.5291
2022-10-26,17804.0749
2022-11-02,17723.0091
2022-11-09,17744.8643
2022-11-16,17749.2996
2022-11-23,17763.2654
2022-11-30,17692.3394
2022-12-07,17770.7016
2022-12-14,17759.109
2022-12-21,17759.1335
2022-12-28,17729.2174
2023-01-04,17761.0648
2023-01-11,17682.9945
2023-01-18,17717.8365
2023-01-25,17723.9678
2023-02-01,17714.2629
2023-02-08,17678.7958
2023-02-15,17692.3461
2023-02-22,17662.6608
2023-03-01,17651.1355
2023-03-08,17569.2048
2023-03-15,17432.754
2023-03-22,17308.8433
2023-03-29,17253.8008
2023-04-05,17272.6597
2023-04-12,17223.9541
2023-04-19,17267.4176
2023-04-26,17213.9013
2023-05-03,17235.7637
2023-05-10,17221.336
2023-05-17,17233.4685
2023-05-24,17291.85
2023-05-31,17335.7454
2023-06-07,17267.0981
2023-06-14,17283.7613
2023-06-21,17315.4375
2023-06-28,17304.9461
2023-07-05,17355.1085
2023-07-12,17286.8124
2023-07-19,17321.7107
2023-07-26,17314.9559
2023-08-02,17336.4074
2023-08-09,17342.4566
2023-08-16,17302.6502
2023-08-23,17343.8918
2023-08-30,17280.9123
2023-09-06,17310.1959
2023-09-13,17299.9576
2023-09-20,17342.4738
2023-09-27,17356.2385
2023-10-04,17355.2206
2023-10-11,17359.1293
2023-10-18,17288.824
2023-10-25,17329.7876
2023-11-01,17354.5271
2023-11-08,17321.0368
2023-11-15,17361.0653
2023-11-22,17362.0928
2023-11-29,17307.2987
2023-12-06,17341.3377
2023-12-13,17349.8439
2023-12-20,17403.5213
2023-12-27,17423.2843
2024-01-03,17431.1609
2024-01-10,17395.9209
2024-01-17,17443.5234
2024-01-24,17409.0235
2024-01-31,17511.2002
2024-02-07,17470.8703
2024-02-14,17496.4248
2024-02-21,17450.5089
2024-02-28,17479.8667
2024-03-06,17511.4105
2024-03-13,17542.758
2024-03-20,17557.6032
2024-03-27,17601.6515
2024-04-03,17544.6451
2024-04-10,17557.1928
2024-04-17,17458.2896
2024-04-24,17562.1553
2024-05-01,17567.3544
2024-05-08,17562.5793
2024-05-15,17591.6352
2024-05-22,17586.4552
2024-05-29,17561.531
2024-06-05,17596.5615
2024-06-12,17593.1235
2024-06-19,17634.599
2024-06-26,17600.3314
2024-07-03,17558.5088
2024-07-10,17577.3163
2024-07-17,17588.5972
2024-07-24,17602.4522
2024-07-31,17676.4487
2024-08-07,17627.2576
2024-08-14,17648.4646
2024-08-21,17661.2949
2024-08-28,17664.2929
2024-09-04,17722.5458
2024-09-11,17705.4441
2024-09-18,17738.3951
2024-09-25,17744.6739
2024-10-02,17797.0846
2024-10-09,17746.8777
2024-10-16,17820.8024
2024-10-23,17809.8367
2024-10-30,17832.385
2024-11-06,17828.3491
2024-11-13,17834.2674
2024-11-20,17787.2308
2024-11-27,17880.0064
2024-12-04,17827.676
2024-12-11,17837.473
2024-12-18,17810.5124
2024-12-25,17863.282
2025-01-01,17784.1567
2025-01-08,17893.7125
2025-01-15,17898.8282
2025-01-22,17960.5633
2025-01-29,17909.3273
2025-02-05,17923.6527
2025-02-12,17917.2056
2025-02-19,17962.1543
2025-02-26,17956.206
2025-03-05,17963.2898
2025-03-12,17993.5472
2025-03-19,18027.3857
2025-03-26,18066.2212
2025-04-02,18103.4225
2025-04-09,18072.5694
2025-04-16,18097.4008
2025-04-23,18094.1763
2025-04-30,18103.6752
2025-05-07,18131.0846
2025-05-14,18145.3044
2025-05-21,18163.4504
2025-05-28,18179.4865
2025-06-04,18182.4954
2025-06-11,18229.5137
2025-06-18,18192.6165
2025-06-25,18272.2723
2025-07-02,18295.6664
2025-07-09,18260.3226
2025-07-16,18286.2332
2025-07-23,18315.0252
2025-07-30,18309.628
2025-08-06,18316.8374
2025-08-13,18353.718
2025-08-20,18340.3001
2025-08-27,18369.4089
2025-09-03,18388.7508
2025-09-10,18399.0781
2025-09-17,18372.1053
2025-09-24,18421.8412
2025-10-01,18523.2877
2025-10-08,18439.6247
2025-10-15,18512.8368
2025-10-22,18501.5423
2025-10-29,18427.6609
2025-11-05,18401.7529
2025-11-12,18511.0737
2025-11-19,18440.1569
2025-11-26,18535.229
2025-12-03,18488.8952
2025-12-10,18524.6472
2025-12-17,18548.4872
2025-12-24,18626.3363
2025-12-31,18545.9739
2026-01-07,18617.5461
2026-01-14,18627.9338
2026-01-21,18613.7223
2026-01-28,18654.3228
2026-02-04,18729.5967
2026-02-11,18777.6205
2026-02-18,18794.5608
2026-02-25,18820.0238
2026-03-04,18826.3269
2026-03-11,18888.8295
2026-03-18,18899.3435
2026-03-25,18993.3712
2026-04-01,19082.9839
2026-04-08,19052.2752
2026-04-15,19094.0318
2026-04-22,19072.4698
2026-04-29,19103.6136
2026-05-06,19215.875
2026-05-13,19280.5348
2026-05-20,19289.1422
2026-05-27,19338.6501
2026-06-03,19295.6943
2026-06-10,19357.4856
2026-06-17,19323.3271
